French,Fon
Tu le déplaceras à cet endroit.,A na sɛ́ dó fí lĕ
"Si Kofi travaille, il aura de l'argent : ","Enyi Kofi w'azɔ ɔ, e na mɔ kwε."
Je partirai aux environs de dix heures.,Un na ɖidó gàn wŏ mɛ̀ mɔ̆
Koku mangera de la pâte avec une fourchette.,Kɔku na sɔ gafu ɖu wɔ na
gros et grand,jogiì - jogijogì
Le roi de Belgique est un homme charmant ,Belgique sin axɔsu nyɔ ɖεkpε tawun.
Combien d'argent te faudra-t-il ?,Akwɛ́ nabi wɛ́ hú dó wè ?
sauce liquide pimentée,atakínsín - takínsín
C’est maintenant que tu as quitté ton travail ?,Lo a tɔ́n hwɛn ɔ ɖíé à ?
Il a sauté sur un autre arbre.,É ɖe vo jɛ̀ atín ɖĕvo jí
Je n’ai jamais chaud.,Zozo nɔ hɛn mi gbeɖe a
Va-t-on aller chez lui ?,E ná yì gɔn tɔ́n wɛ́ à ?
Le malade n’aura rien à manger ce soir ,Azinzɔnnɔ ɔ na mɔ nuti ɖu gbadanu elɔ a.
jumeau,hŏxò - hòóví - hòxóví
Que vais-je boire ?,Etɛ un na nu ?
Il faut que je parte,Un ɖo na yi
Je suis venu chez toi,Un wa gɔn towe
Tous leurs cheveux.,Ɖa yetɔn lɛ bi
N'as-tu pas entendu ?,A sè à é ?
Il ne vit que dans son champ.,Gle tɔn jɛ́n nɔ́ ná nùɖúɖú ì
Je vais mieux.,E kpɔ́n te nú mì
Je commence à comprendre le proverbe.,Un jɛ̀ nù mɔ́ jɛ̀ lò ɔ́ mɛ́ jí
Nous mangerons un plat à la sauce gluante.,Mì ná ɖù dɛ̀ nú
Des millions de personnes sont concernées.,Gbɛtɔ livi tɛnwe ɖie mɛ
Tu as tué l’agouti avec quoi ? ,A hu xɔ ɔ kpodo nu tε kpo ?
Et il a de grandes dents ?,Aɖu tɔn lɛ klo wɛ à ?
Quelques heures de repos devraient tout arranger.,Ganxixo nabiɖe nu gbɔjɛ na to nu lɛ bi
Il sème la zizanie dans la famille.,E ɖò hwinyahwinya dó hɛ̀nnú ɔ́ mɛ́ wɛ̀
L’agouti nage bien ,Xɔ nɔ lin tɔ ganji.
Ecoutez-le !,Mi ɖó tó è !
Sans compter.,Ma lɛn kpɔ́n
permission,gbenàmε - gbeniná - linlɔn
Pourquoi as-tu peint le mur en blanc ?,Etε wutu a sa sin wewe ɖo do ɔ
C'est la deuxième rue à droite.,Ali we go ɔ do aɖisimɛ
Comment va donc le malade ? ,Nε wε azinzɔnnɔ ɔ ka ɖe ?
Kossi et sa femme sont en mésentente.,Kɔsí kpódó asi tɔn kpó ɖò kicakica jí
Est-ce que tu vois double ?,We we mɔ a ɖe à ?
Les gens disent ainsi,Mε lε nɔ ɖɔ mɔ.
C’est à cause de toi.,E sɔ́n wŭ wè
Je vais envoyer une lettre.,Un na sε wema ɖokpo do
"Si un chevreau est turbulent, la hyène le prend et le mange.","Gbɔvi ɖe mla ɔ, hla nɔ sɔ ɛ ɖu. "
Quand irai-je le voir ?,Hwetɛ́nú wɛ̀ un ka ná mɔ́ ɛ́ ɖó nukún wú ?
Vers.,Ɖibla yi
J'ai vu son visage.,Un mɔ̀ nukún tɔ́n mɛ̀
"Cette jeune fille, c’est une splendeur.","Vì élɔ́ ɔ́, tɔ́nnúhwecí wɛ̀"
Il est une heure dix (une heure plus dix).,Gan ɖokpo ceju wo we
Les enfants sucent des bonbons.,"Vi lɛ ɖo ""bonbon"" gbigbɔn wɛ"
Il y a trois jours.,Azan yi atɔn
Vous avez entendu qu’il a été dit à nos ancêtres.,Mi sè e dò sɛ́n nú tɔ́gbó mitɔn lɛ́ ɖɔ̀
bananeraie,kókwégbò - kókwéka - kókwékanmὲ
On ne prête pas à autrui ce qu’on a emprunté.,Hwenahwéná nɔ́ hwe nú hwenahwena ă
Il n’a été sollicité par personne.,É kpo ta
Cela s’use vite.,E nɔ́ yá wú lì
Elle râpe du manioc.,Fɛnnyɛ́ gín wɛ̀ é ɖè
Il a détourné le pagne pour se faire de l’argent.,É wló avɔ sà
C’est que je suis en train de sortir.,Tintɔn un ɖe
"Si le rythme du tam-tam change, le rythme de la danse change.","Hun ɖe ɖyɔ ɔ, wefɔ tɔn nɔ ɖyɔ. "
fixement,dáán - syέnsyέn - xéé
C'est à Jean.,Ján tɔn wɛ̀
Elle est d’une beauté accomplie.,É nyɔ́ ɖɛkpɛ̀ káká bɔ kpɛɖé jɛ́ jí
Génial ! Il fait chaud et ensoleillé.,Mi ɖo kpe zozo kpodo hwevɔ kpo ɖe
Il commande aux esprits mauvais.,E nɔ́ ɖè gbe dó yɛ nyanya lɛ́
Et qu'est-ce que c'était ?,Bo nuɖe tɛ wɛ ?
Avril a 30 jours.,Lidosun ɖo azan gban
imprimer,zĭn wĕmà
capital d'investissement,kwέtá - àkwέtá
être effrayé,xesì jɛ̀ mɛ jĭ - xò avivì
Nous soignons notre cahier et nous apprenons nos leçons .,Mi nɔ wli bo nu wema mitɔn lε bo mi nɔ kplɔn nu ganji
J’ai examiné l’affaire.,Un d’áyì xó ɔ mɛ̀
Toi et le matin.,Hwɛ kpodo zanzan kpo
Il a franchi le fossé.,E xò do ɔ zlɛ́
blâmer quelqu’un,nyì mă mε
Il a fait sortir le jus de l'orange.,E fyɔ́n asàn nú yovózɛ̀n
Je ne l’ai même pas touché.,Un d’álɔ̀ wù tɔ́n vɔ́vɔ́ ă
Aie pitié !,Kɛnklɛ́ɛ̀n !
Regarde-moi,Kpɔn mi
J'ai adoré les boucles d'oreilles de la reine mère ,Un yi wan nu axɔsi ɔ sin togbe lε.
J'y crois.,Un ɖi
Il a disputé son enfant avec bruit.,E ɖú zìngídí dó vì tɔ́n jí
J’ai placé ma charge (sur ma tête) sans la tenir (en la portant en équilibre).,Un ɖó agban cè àgbàgbáɖá
Moi et mon père nous sommes rencontrés sur la route.,Nyɛ kpó tɔ́ cé kpó wá ɖú kosɔ ɖò agbăsa jí
être à un prix abordable,nyɔ̆ axì
Va au dispensaire.,Yi dotoxwe
Ton enfant tousse.,Vì tówé ɖò kpɛ́n kpɛ́n wɛ̀
Il s'est tourné pour me voir.,E lílɛ́ kpɔ́n mì
Les bons écoliers ne s'absentent jamais de l'école.,Azɔmεvi ɖagbe lε nɔ tɔn azɔmε gbeɖe a
tasser le sol,zĭn ayìkúngban
Ils nous insultent.,Yĕ ɖò mì zún wɛ̀
Il m’a écorché la plaie.,E zínzín akpa nú mì
Mes condoléances.,Mi kú lɔ̀jŭ
Laisse-moi l'enlever !,Jo mi do nu ma ɖe sin mɛ
La journée passe lentement.,Hwenu nɔ din dɛdɛ
"Oui, il s'y acharne.","Ɛɛn, azɔ̀ tɔ́n myá nukún n’í"
invité,jŏnɔ̆ - kuvidá
Je croirai lorsque je le verrai.,Un mɔ jɛn na ɖi
C’est plus rapide que si tu passes là-bas.,E yá hú ɖɔ̀ a gbɔ̀n dɔ̌n
Il nous regarde.,É ɖò mì kpɔ́n wɛ̀
ménager ses forces,xwè sɔ̀
Elle me traite comme un enfant.,E nɔ zan mi ɖi yɔkpɔvu ɖɔhun
violer un interdit,dŏ asá sέn
aimer quelqu'un,yĭ wăn nú mɛ
"On est content, c’est le printemps : ",E vivi nu mi ɖo mi ɖo ji hwenu a.
Quand est-ce que le bus de huit heures arrive à Cotonou ? ,Hwetenu gan tantɔn mε sin hun ɔ na wa Kutɔnu ?
Kofi est allé et a regardé,Kofi yi bo kpɔn
Vends-moi.,Sa afintin nú mi
Y es-tu ?,Ku d'e wu
Il est envieux de ma fortune.,Nù cé su nukún tɔ́n mɛ̀
Vois-tu ?,A ma mɔ din à ?
Levez le doigt.,Ze alɔvi yi ji
Pourquoi me regardes-tu de travers ?,Nɛ̆ gbɔ̀n bɔ̀ a ɖò wunvɔ kpɔ́n mí wɛ̀ ?
Il fait des petits boulots.,E nɔ́ xò jɔ̆bù
Ce n'est pas pareil.,E nyi nu ɖokpo ɔ a
N’est-ce pas ?,Abí ?
Je vais voyager,Un na yi tomε
Il est aimable.,Mɛ ɖagbe wɛ̀
Son travail passe avant ses enfants,Azɔ tɔn nɔ din jε nukɔn nu vi tɔn.
garder la mesure,xwè sɔ̀
Ces arbres finiront par tomber sur le chemin.,Atín elɔ na wa hɔ d’ali jí
action de lancer l'escargot (jeu d'enfant),akweté sísέ
Nous sommes en train de faire un nouveau terrain de football.,Mĭ ɖò bɔ̌luafɔsɔ́xotɛn ɖĕvo bló wɛ̀
Nous ne pouvons pas acheter de médicaments ,Mi si xɔ atinkεn a.
Koku apportera le sac au marché.,Kɔku na sɔ saki ɔ yi aximɛ
Il cherche alors par divers moyens à connaître ce qui lui pose problème.,B’ɛ nɔ jɛ̀ biba jí gbɔ̀n alɔ lɛ́ bĭ mɛ̀
L’enfant transporte une lourde charge.,Vi ɔ nɔ ze agban kpikpεn hεn yi
Que vous travailliez pour l'Etat !,Mi nu mi w’azɔ nu acɛkpikpa !
Tu feras des bêtises avant l’âge.,A na yi tɔ̀ có bó gbà zɛ̌n ă
C’est un enfant qui s’est blessé.,Vi kpɛvi ɖe wɛ gble wu eye ɖe
"Eux, aussitôt, laissant les filets, le suivirent.",Ye ka jó ɖɔ yetɔn lɛɛ dó trolo bo xwedó é
"Pourquoi te quitte-t-il, Cindy ? : ","Etε wutu e ɖo jijo we do wε, Cindy ?"
J'y ai dîné il y a trois jours,Un ɖu nu ɖo dɔn azan atɔn ɖie.
Boisson fraîche.,Ahan fifa
Il a fait plusieurs travaux aujourd’hui.,Azɔ̆ mɔ̀kpán wɛ̀ é wà égbé
"Dlama est tombé amoureux de toi, séduit par tes beaux yeux étincelants.","Dlama yi wan nu we, ahwui kpodo nukun towe tita lɛ kpo"
Je me suis réfugié chez lui (pour m'abriter de la pluie).,Un bɛ sìn ɖò gɔ̆n tɔ̀n
Je n'ai pu y aller à cause du brouillard.,Ahŭn susu wɛ zɔ́n bɔ̀ un sìxú yì ă
Montre-moi ton cahier.,Sɔ́ wemá tówé xlɛ́ mì
Jean a les cheveux frisés.,Jean ɖo ɖa wlowlo
On soigne son travail .,Mi ɖo azɔ tɔn blo ɖo wε
manquer du pouvoir nécessaire pour faire quelque chose,hwè dŏ wŭ
Le voici là-bas.,Eye n'i ɖo dɔn nɛ
Que veux-tu acheter ?,Etɛ́ xɔ́ gbé á jà ?
Le rat grimpe aux arbres ,Gbeja ɔ ɖo atin lε fan wε.
Il boit trop de bière ,E nɔ nu ahan din.
"Vers la fin de l’année, quelle fête prépare-t-on ?","Xwe ɖò na fó wɛ́ ɔ́, xwè tɛ́ lɛ́ sín nŭ wɛ̀ è nɔ sɔ́ ?"
Il a mélangé mes papiers.,E hɛ̀n wèmá cé lɛ́ gúdá
Je n'ai pas l'habitude de faire cela.,Un nɔ wa gbɔ̀n mɔ̆ ă
Il se tient bien droit.,É xwe tè gbánnáná
Pourquoi bois-tu beaucoup ?,Etε wutu a nɔ nu gege ?
Il vaudrait mieux que tu réfléchisses bien à ce que tu vas faire .,"Nu a lin tamε ganji nu nuɖe a na blo ɔ, e na nyɔ hu"
La cérémonie aura lieu demain.,Nùwíwá ɔ́ ɖo sɔ̀
Tu es mon aîné ,Mεxo ce wε a nyi.
Ça ne se vend pas bien.,É kpo ta
Il m'a jeté à terre.,E zín mí d'ayĭ
Tu balayeras autour de la maison.,A na z'ayì lɛ́lɛ̀ dó xwé ɔ́
C'est le mien,Ce wε
agrafe,hŭkù - wlĭ
"Mon cher, tu as des biens en abondance pour de nombreuses années.","Nya cè, a ɖó dɔkun gègé nú xwe mɔkpán"
La voiture et le train roulent vite ,Mɔto ɔ kpodo pipan ɔ kpo nɔ kan wezun.
Je bois à la réussite de notre projet,Un ɖo ahan nu wε.
Je suis venu pour travailler.,Un wá azɔ̀ wà gbé
Je me suis écorché.,Un kínkɔ́n wŭ
"A ce moment-là, je n’étais pas à la maison.","Yɛdo nɛ́ ɔ́ mɛ́ ɔ́, un ɖò xwé ă"
II ne m'a rien répondu,E yi gbe ɖe nu mi a
Dada s’est bien habillée.,Dadá gb’ávɔ tɔn páá
On plante un arbre.,Mi ɖo atin ɖokpo do wɛ
Un fils est né au village.,Vi ɖe nyi jiji ɖo gleta
C'est beaucoup !,E su kpɔ din !
"Cependant, il ne faut pas prendre la religion comme une recette.","Sinsɛn ɔ́, ká nyí nù bó nɔ́ gbɔ̀ nŭ bì nú mɛ ă"
Il a cueilli les oranges vertes.,E tlú yovózɛn
Je vais acheter des bananes.,Un jlo na xɔ kokwe
Tout ceci n'est que pure coïncidence.,Elɔ lɛ bi ɔ nujɛnumɛ tawun wɛ
Et ton mari ?,Asu we lo ?
Comme nous pardonnons à nos frères,Lee mi nɔ sɔ kε nɔvi mitɔn lε.
Je reviendrai te voir une autre fois et nous parlerons de l’affaire.,Un na lɛ́ wá mɔ́ we nɛbɔ́ bɔ̀ mì ná ɖɔ xó ɔ́
Il épie.,E nɔ́ xwiɖá nŭ
Ils doivent être recherchés avec des fusils pour commencer à être incarcérés.,Ye ɖo na ba tu na bo na jɛ ye wli ji
Tirer au canon.,Da agba
hardiment,kpódó ayiglaglá kpán
A l'aurore.,Kokló ɖò así kɔ́ wɛ̀
Il a tiré un coup de fusil et il a raté la cible.,É dà̀ tú gbɔ̀
Vous êtes à pied ou en voiture ?,Mi zɔn afɔ kabi mi hɛn mɔto?
Tu es bien fardée.,A sá atínkɛ́n dó nukúnmɛ̀ ganjí
Les colis sont lourds.,Agban lɛ kpɛn
marcher devant,jὲ nukɔ̀n
Le soleil baisse.,Hwè yì dò
Je suis indisposé.,Lanmɛ ce ɖ’é jí ă
En grande quantité (poudre),"Wɔgɔɔ̀, wɔgɔwɔgɔ̀"
J’ai fini un travail.,Un w’àzɔ̀ cé vɔ̀
Il les a réconciliés.,É ɖɔ̀ hwɛ gbo nú yĕ
Je le rencontre au marché ,Un nɔ kpe e ɖo aximε.
Arbuste épineux.,Atin wun
Ne touche pas.,Ma ya gba ó
Quiconque boit de cette eau aura soif à nouveau.,Mɛɖébŭ nù sin yɛ ɔ́ sinnugblá ná lɛ́ sín ì
J’ai refusé et je persiste.,Un gbɛ́ bó tɛ afɔ jí
brûler le champ,mὲ glè
"Le mulot est dans son trou, mais ses yeux sont dehors.","Afin nɔ ɖo nu mɛ, co nukun tɔn nɔ ɖo hɛnkɛn. "
"Si je ne suis pas malade, je viendrai.","Enyí un ma j'àzɔ̀n à ɔ́, un na wá"
Quel mois sommes-nous ?,Sunzan nabí mɛ̀ mĭ ɖè
II a agité l'arbre,E hunhun atin ɔ
Je ne suis pas resté longtemps à Cotonou,Un nɔ Kutɔnu gege a.
Il fait un temps splendide,Gbε ɔ mε nyɔ
Dieu soit béni !,E ni kpà Măwŭ !
"Non, nous n'avons pas campé, parce qu'il faisait froid","Eo, mi yi mε a ɖo gbemε fa avivɔ gbε"
Il a colporté l'histoire en ville.,E ɖíɖá xó bó jɛ̀ toxomɛ̀
Son travail passe avant ses enfants.,Azɔ tɔn nɔ din jɛ nukɔn nu vi tɔn
Qu'est-ce qui s'est passé pour que… ?,Etɛ wɛ jɛ bɔ… ?
Il est à côté de la case.,E ɖo xɔ (a)kpa
toussaint,yɛhwe lɛ́ bì zán gbè
Ce poussin erre à l’abandon.,Koklóvi ɖo tete sa wɛ̀
Lune très brillante,"Sunhweɖíɖí, sunhwleɖíɖí"
Ceux de Ouidah arriveront plus tard,Glexwe tɔn lε na wa ɖo zan ɖe.
Et tu allumeras le feu,Bo na flɔ myɔ
Le chemin va tout droit.,Ali ɔ́ zɔn tlɔlɔ̀
Tu aimes trop recevoir tout gratuitement.,Hwɛ nɔ bà nŭ vɔ̀nú dín
"Franchement, oui ! : ","Un ma na ɖo aɖingban a ɔ, εεn."
Préparer un médicament.,Ɖa amasin
"J’ai planté des ignames, mais je n’ai personne pour les arracher. J’ai planté du sorgho, mais je n’ai personne pour le récolter. J’ai semé des haricots, mais je n’ai personne pour les cueillir.",Un dó tè cóbɔ̀ tekuntɔ́ hán. Un dó abɔ̀ cóbɔ̀ abɔyatɔ́ hán. Un d’ayì cóbɔ̀ ayìgbɛ́tɔ́ hán
Mon oeil a commencé à pleurer goutte à goutte.,Nukún ce ja ɖasin téwún
Je suis sans vigueur.,Lanmɛ ce nɔ víví
"Et il y aura un seul troupeau, un seul pasteur.",Bɔ̀ wutó ɔ́ ná nyi ɖokpó bɔ̀ lɛngbɔnyítɔ́ ɔ́ ná nyí ɖokpó
Tu bats des mains,A ɖo alɔ xo wε.
"Kofi est venu, mais il n'a pas attendu.",Kofi wa amɔ e nɔ te ă
Il n’est plus ici pour longtemps (il va mourir).,É sɔ́ kpò ɖò fí káká ɖé ă
La maison est tout enfumée.,Azizɔ gɔ́ xɔ ɔ́ mɛ̀ bĭ
Cet enfant remue continuellement.,Vì élɔ́ nɔ́ ɖò xɛ́ xó wɛ ɖo gbɛmɛ̀
Il a volé de l’huile.,É fìn ami wún
Elever des animaux.,Nyi kanlin
Ne cuis pas les aliments,Ma ɖa nuɖuɖu lε ɔ
Vise le gibier avec le fusil.,Jlɔ̀ tú ɖó lan ɔ jí
Le grand vent est en train de souffler.,Jɔhɔn gugu wɛ ɖò nyinyi wɛ̀
Il parle comme quelqu’un qui a grandi en taille seulement.,E nɔ́ ɖɔ̀ xó sosávɔɛ ɖɔhùn
Il a réfléchi à cette affaire.,E kéjé tamɛ dó xó ɔ́ wú
lampe-tempête,ganjà - ganja myɔgbέn - ganjamyɔtágbέn - ganjazogbέn
Le malade est derrière le lit.,Azinzɔnnɔ ɔ ɖo zan ɔ gudo
Et on les appelle zemijan,Bɔ ye nɔ ylɔ ɖɔ zemijan
L’oiseau redonna deux coups de bec à l’homme.,Xɛ ɔ lɛ́ xú bɛ́ wè dawé ɔ́
être obscur,dŏ ablù
Nous avons peiné toute la nuit sans rien prendre.,Mĭ jɛ tagbà zàn ɔ́ bĭ mɛ̀ káká ɔ́ mĭ mɔ̀ nùɖé wlí ă
Il m’a fait dépenser de l’argent.,É hù akwέ nú mì
"Et toi, tu viens de quelle ville ?","Hwɛ lo, toxo tɛ mɛ a gosin ?"
Je n’ai pas cherché le fond de l’affaire.,Un bà dò nà ó
vouer quelqu'un au vaudoun,dŏ mεɖé vodún mὲ
Personne ne sait que sera demain.,Mɛɖé túwun sɔ e jàwè ɔ́ ă
Quelle quantité veux-tu ?,Nabí mɔ̆ ba a ɖè ?
Le cheval saute par-dessus les fossés,Sɔ ɔ lɔn agbo aga nu ɖo lε.
laisser couler le liquide amniotique,gbà asɔ̀ - gbà sɔ̀
Fais réchauffer la pâte.,Lɛ̀ vɔ́ ɖó wɔ̌ ado jí
C’est un grand malheur pour elle.,Wuvɛ ɖaxo wɛ nyi n'ɛ
Il a cogné la tête sur le mur avec un choc sec.,É gba ta dó dò wú gawùn
On l'a emmené à l'hôpital.,E kpl'ɛ́ hɛ́n yì dotó xwé
La table que j'ai achetée est grande,Tavo e un xɔ ɔ ci glijaa
Il ne mange pas bien.,E nɔ ɖu nu ganji ă
Ils ont fait un choc à vélo en se rencontrant.,Yĕ càn kɛkɛ́
On a augmenté le prix du maïs.,E dó kwέ gbadé jí
Il m'a dit quelque chose sur toi,E ɖɔ xo ɖe nu mi nu we
Je l'ai alerté.,Un gbɔ̀n akpá n'í
Elle regarda autour d'elle.,E kpɔn alɔ tɔn lε bi xwe.
Il n’est plus.,É nyí matíntɔ́
Elle a mis un bracelet à la main,E do gan alɔ
Il fait un soleil très fort aujourd’hui.,Hwezivɔ́ glálá ɖé wɛ́ hun égbé
Ce matin.,Zanzan elɔ
Il m’a fait une piqûre.,É dó nyɛ̀ nú mì
C'est ton enfant.,Vi towe wɛ
La sauce est aigre.,Nùsúnnú ɔ́ vɛ́ sìn
Tu me refuses cela ?,A gbɛ nu nu mi a ?
C’est le fils de mon frère.,Nɔví cé sín vĭ wɛ
On l’a bien formé.,E ɖ’ɛ́ lójú tawùn
replier les jambes,wŭn afɔ̀
Kofi n'a rien entendu,Kofi se nuti a
Tous pleuraient sur lui.,Mɛ bĭ ɖò avi ya n’í wɛ̀
L’avion s’est brisé contre la montagne ,Jomεhun ɔ gba eɖee ɖo so ɔ wu.
"Je te l'ai dit, non ?",Un ɖɔ nu we a e ?
Ce n’est pas vrai.,Adingban wɛ
Place du marché.,Tɛn mɛ aximɛ tɔn
II m'a donné la chicote vivement et s'est sauvé,E do ba mi fyawun bo hɔn
C’est chaud.,E hun zo
Je suis en train de te parler.,Un ɖo xó ɖɔ nu we wɛ
C’est à Cotonou que Kofi est en train d’aller,Kutɔnu yi wε Kofi ɖe.
cher,satɔ́ - vìvέ - vὲná - zɔnjɛzɔnfɔ́n
Ah ! Hélas !,Káyì !
Ta conduite m’a fâché.,"Nù nɛ́ a blo ɔ́, é gblé xomɛ nú mì"
Tu vas au travail ?,Azɔ wa gbe a xwe a ?
Il se contredit.,Xó tɔ́n nɔ́ nyi ta fí ɖokpó ă
enfanter avec un enfant encore au sein,jì kpέ
"Bon cheval, ton étable est remplie de nourriture.","Sɔ ɖagbe, kpo towe go nuɖuɖu"
Et s’approchent des fermes quand il fait nuit.,Bo nɔ sε kpɔ gleta lε hwenu ɖe zan ku ɔ
Jours (deux),Azan we
"Si l'on veut pétrir de la terre, c'est à la terre qu'on ressemble.","E jlo na nya kɔ ɔ, kɔ ɖɔhun wɛ e nɔ ci. "
soixante-dix,kanɖé gbàn
manoeuvre,ahizì - gbatεsɔ́tɔ́ - maléfù
C'est un bon chien.,Cuku dagbe wɛ
Nous ferons.,Mì nà bló
C’était un chat noir gros et long.,Awĭì wiwi dlɛlɛ ɖé wɛ̀
Il est libre.,É ɖo vuvo mɛ̀
abondamment en encombrant,vεnvεnvὲn - vεnvεὲn
Il demanda si elle savait à qui appartenaient les clefs ,E kan byɔ ɖɔ e tuwun mε ɖe tɔn wε cavi lε ɔ a ji.
Donne-lui le superflu.,Sɔ́ éé kpó ɖ’é jí é n’í
"Oui, je me porte bien.","Ɛɛn, un ɖo ɖagbe"
Les étudiants travaillent !,Nukplɔntɔ lɛ ɖo azɔ wa wɛ
Les arbres perdent leurs feuilles.,Atin lɛ ɖo ama yetɔn lɛ gu wɛ
L’épervier est noir et blanc ,Gεn ɔ wi bo we.
"A l'instant, elle en rencontra et s'y plongea avec délices.","Ɖo tlolo mε ɔ, e mɔ wiimi bo zɔn jε mε."
Brenda est professeur d'anglais.,Brenda ɔ mεsi glεnsingbe kplɔnmεtɔ wε.
se lier d'amitié avec quelqu'un en vue d'un profit,dŏ xɔ́ntɔ̀n mɛ
Je t'ai attendu jusqu'à la nuit.,Un ɖo te kpɔ́n wè káká bɔ̀ zàn kú
Il est tombé du haut de l’arbre.,E flɛ́ sín atín ɔ́ jí
L'amour est aussi une affection de la peau ,Wanyiyi ɔ bo wli nu agbaza ɖesu wε.
Ton mur a une fente.,Dò tówé zɛ̀
Il a beaucoup d'argent.,E mɔ̀ akwɛ́ gègé
Il appelle son dieu avec confiance.,E ɖò Măwù ylɔ́ wɛ́ kpó jiɖide kpán
"Nous avons trois enfants, deux garçons et une fille : ",Mi ɖo vi atɔn sunnu wε nyɔnu ɖokpo.
Donne-moi de l’eau.,Bà sín nú mì
Je t'ai confié à Dieu.,Un zé wè d'álɔ mɛ nú Măwŭ
II m'a dévoilé son secret,E gba akpa tɔn nu mi
J'ai dix femmes et j'ai trente enfants.,Un ɖo asi wo kpodo vi gban
Il est affable,E nɔ ya wu do mɛ
Bébé aime la confiture.,Vi kpεvi yi wan nu wiimi
"Dès qu'il a acheté la nouvelle voiture, il m'a informé.","Ɖee e xɔ mɔto yɔyɔ trolo ɔ, e ɖo nu mi"
Dis-lui d’arrêter.,Ɖò é te nú mì
"Avant, nous n'avions pas l'électricité.","Đ'ayi ɔ, mi ɖo lɛtliki a"
Le jardinier plante des rosiers,Maglelεtɔ ɔ ɖo 'rosiers' do wε.
Ils ne s'entendent pas entre eux.,Gbè yètɔ́n ɖò kpɔ́ ă
Je lève la main de gŭ pour te féliciter.,Un zé gù’lɔ́ yí jí nú wè
Il travaille pour elle,E ɖo azɔ wa wε nu eyε.
J’ai manqué de reconnaissance.,Un ma flín sɔgudo nɛ́
ouvrir une parenthèse sur un sujet,gbò jagé
Il m'a donné sa contribution.,E ná zìndó mì
L'enfant réfléchit.,Vi ɔ lin ta mɛ
Les moutons se promènent toujours en troupeau,Gbɔ lε nɔ ɖisa ɖo kpɔ hwebinu.
Il travaille sérieusement.,É nɔ́ w’azɔ̀ dó wà heelú tɔ̀n
Nous sommes en ville.,Mi ɖo toxomɛ
Cherche à répondre par toi-même à la question.,Tɛ́n kpɔ́n bó yi gbe nú nukánbyɔ́ mɛ élɔ́ lɛ́
"Unissez-vous, ne restez pas séparés.","Mi ɖó gbè kpɔ́, mi ma nɔ̀ vokán vokán ó"
Celles-ci allèrent chez la tortue pour lui demander pourquoi elle avait mis le feu à leur brousse ,Mε enε ɔ lε yi logozo ɔ gɔn bo kan byɔ ye ɖɔ
La maladie est grave.,Azɔn syɛn
Enferme ce pagne dans ta malle.,Sú avɔ élɔ́ dó gbà tówé mɛ̀
Il élève des poulets et des cabris dans sa ferme.,E nɔ́ nyì kokló kpó lɛngbɔ́ kpó ɖò gle tɔn ta
Il n'a pas bien mélangé le ciment et le sable.,E blú simá dó kɔ́ wú ganjí ă
Sa santé est bonne.,Lanmɛ tɔn ɖò ganjí
"Oui, j'ai travaillé un peu","Εεn, un w'azɔ kpεɖe"
Les parents.,Mɛjitɔ lɛ
Ils se mettent d'accord.,Ye ɖo gbe kpɔ
entr'ouvrir le regard,kɛ̀ wùn
J'ai un rhume.,Un ɖò lɛ̀nkpɔ́n jɛ́ wɛ̀
J'ai un hôte chez moi.,Jònɔ́ wá gɔ̆n cè
La route est large.,Ali ɔ gbló
Il s’est donné de la peine pour moi.,É xo kan cè
Il est bon d’être unis.,Alɔɖokpɔ́ nyɔ́
Je réfléchirai.,Un ná ɖò kpúkpɔ́n wɛ̀
Je pense que tu es méchant.,Un ɖi ɖɔ a nyla hun
C’est cassé.,E fɛ́n
Combien vends-tu ton tas de piment ?,Nabí a nɔ sà takín ɖíɖó ?
Allez à ce niveau.,Yi bà nɛ́ ɔ́ mɛ̀
Plût à Dieu que je fusse mort à ta place.,Măwù lɔ́ vɛ́ kó jló bó nú nyɛ ma kú ɖo tɛn towe mɛ̀
Est-ce que Jane est curieuse ? ,Jane nɔ ba nudo wε a ?
On m’a commandé quelque chose et j’ai refusé.,E zɔn nŭ mì bɔ̀ un gbɛ́
Le seau est percé.,Gannú ɔ́ ɖúɖú sìn
Voici la vendeuse qui vend bon marché !,Gbawunjonɔ̀ ɖíè !
s'en aller,wă xwè - xwè yì gbĕ
La chauve-souris plane dans les airs ,Atoke ɔ kε awa ɖo jɔhɔn mε.
L’enfant s’est traîné par terre.,Vì ɔ̀ sá gɔ̀n kɔ́ mɛ̀
Tu es rapide pour faire cuire quelque chose.,Nùɖíɖá nɔ́ yá nú wè
Mon enfant est entêté.,Vì cé syɛ́n ta
On a ouvert le chemin.,E hun alì
Tu es intelligent.,A nɔ mɔ nu jɛ mɛ
Les petits ânes bougent leurs oreilles.,Sɔ kpɛvi lɛ nɔ dan to yetɔn
"Qui peut remettre les péchés, sinon Dieu seul ?","Mɛ̆ wɛ̀ sigán sɔ́ hwɛ kɛ mɛ, zɛ̀ Măwŭ ɖokpónɔ́ wú ?"
Il n’est même pas assez grand pour se tenir debout et il va courir !,É má su te nɔ gɛ́ bó ká ná dó wezun à !
marmite,ganzέn - nùɖàgánnú
Un foyer à trois cônes ne renverse pas la chose.,Adoglwe e nyi atɔn nɔ fli nu ă.
